Entry No.	Data source	Lab	Run	Type	Observed ys (m)	duration (hr)	Flume data	width (m)	Lflume (m)	Sediment data	d50 (mm)	sigma_g	Flow data	y (m)	V (m/s)	Vc (m/s) original paper	Vc paper	Pier data	Column dimensions	bcol (m)	Lcol (m)	Pier shape	Kshape,col	Pile cap dimensions	bpc (m)	Lpc (m)	T (m)	f (m)	f2 (m)	h0 (m)	h1 (m)	PC shape	Kshape,pc	Pile group dimensions	bp (m)	m	n	Sn (m)	Sm (m)	Pier shape	Kshape,pg	****
1	Beheshti, Ataie-Ashtiani 2016	Sharif University	scoured_bed	complex pier	0.155	72	****	1.26	15	****	0.71	1.2	****	0.301	0.358	0.37	Beheshti&Ataie 2008	****	****	0.068	0.303	Square Nose	1.1	****	0.14	0.42	0.0336	0.059	0.036	0.0279	0.0615	Square Nose	1.1	****	0.0254	4	2	0.0762	0.0762	Group of Cylinders	1	****
2	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-1	complex pier	0.041998	10.5	****	0.6	16	****	0.6	1.2	****	0.140998	0.232863823	0.31	Beheshti&Ataie 2009	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.102004	-0.070004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
3	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-2	complex pier	0.037004	35.5	****	0.6	17	****	0.6	1.2	****	0.134992	0.24322429	0.30	Beheshti&Ataie 2010	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.091994	-0.059994	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
4	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-3	complex pier	0.041998	15.8	****	0.6	18	****	0.6	1.2	****	0.134002	0.246264981	0.30	Beheshti&Ataie 2011	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.082006	-0.050006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
5	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-4	complex pier	0.037994	15.8	****	0.6	19	****	0.6	1.2	****	0.145992	0.243164009	0.31	Beheshti&Ataie 2012	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.071996	-0.039996	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
6	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-5	complex pier	0.026004	36	****	0.6	20	****	0.6	1.2	****	0.140998	0.258372459	0.31	Beheshti&Ataie 2013	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.032	0	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
7	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-6	complex pier	0.033	34.5	****	0.6	21	****	0.6	1.2	****	0.156002	0.232689324	0.31	Beheshti&Ataie 2014	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.032	0	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
8	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-7	complex pier	0.017996	54	****	0.6	22	****	0.6	1.2	****	0.147004	0.243077286	0.31	Beheshti&Ataie 2015	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.045002	-0.013002	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
9	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-8	complex pier	0.055	72	****	0.6	23	****	0.6	1.2	****	0.151998	0.264257863	0.31	Beheshti&Ataie 2016	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.014994	0.017006	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
10	Ataie-Ashtiani, Baratian, Beheshti 2010	Sharif University of Technology	Model I-9	complex pier	0.008008	36	****	0.6	24	****	0.6	1.2	****	0.151998	0.23465221	0.31	Beheshti&Ataie 2017	****	****	0.022	0.15	Round Nose	1	****	0.09	0.18	0.032	0.015	0.034	-0.036004	-0.004004	Square Nose	1.1	****	0.016	3	2	0.032	0.04	Group of Cylinders	1	****
