x1,x2,x3,x4,z
4,1,4.5,1,1.65997226313099
4,1,2,1,1.56772297779335
4,2,2,2,0.954930564225732
4,2,3,3,0.940589072644779
4,1,3,1,1.46558883505543
4,1,6,1,1.27159830076937
4,1,1,1,1.4781656260062
5,2,2,2.2,0.993414392162051
5,2,2,2.2,0.995056995914127
1,4,1,1,1.32023689065985
1,4,1,2,0.495647449972816
1,4,1,3,0.442188528846585
2,4,1,1,1.42046372906479
4,3,6,6,0.435648596426296
2,4,3,3,0.49198170731234
4,3,1,1,1.53486087415227
4,1,2,1,1.41813931645102
1,4,1,6,0.292084023110536
3,4,2,2,0.767005165838466
2,4,6,6,0.332692837303664
3,4,1,1,1.15715449389041
3,4,3,3,0.484694251413122
1,4,1,4.5,0.388691327703642
3,4,4.5,4.5,0.363266481902613
4,2,6,6,0.758110309604791
4,3,2,2,0.768105550683916
3,4,6,6,0.344763158968065
8,3,3,3,0.7566270274948
3,1,4,1,0.830024114550753
3,2,2.04545454545455,1.36363636363636,0.750107322822722
2,1,4,1,1.01104943961001
2,1,5,1,0.973904660831297
2,1,6,1,0.955027638886217
2,1,8,1,0.930552616325626
2,1,10,1,0.930552616325626
2,1,12,1,0.919017072077287
2,1,1,1,0.955243280075371
2,1,2,1,1.04556047792024
2,1,2.5,1,1.15609541764111
2,1,3,1,1.12393661850448
2,1,4,1,1.00995871898412
2,1,5,1,0.98490288832092
2,1,8,1,0.96804146387356
2,1,10,1,0.955243280075371
2,1,12,1,0.955243280075371
2,1,1,1,0.971636649273113
2,1,2,1,1.14529209176135
2,1,2.5,1,1.17936150361196
2,1,3,1,1.06502170348242
2,1,5,1,1.00194447476452
2,1,6,1,1.00194447476452
2,1,8,1,0.971636649273113
